"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
53, 7.988399346000000e-01, 2.971069290000000e-02, -1.458201256702929e+00, 8.781176445327404e-269, 6.140396411370160e-270, 1.000000000000000e-10, 1.000000000000000e-04, 8.369622530711491e-01, 1.004736102941982e+03
54, 7.917587283000000e-01, 3.110858270000000e-02, -1.404205970552327e+00, -7.502720459366660e-271, -5.246412946037868e-272, 1.000000000000000e-10, 1.000000000000000e-04, 8.975680467867331e-01, 1.028841054849331e+03
55, 7.845876537000001e-01, 3.254564220000000e-02, -1.385231648984277e+00, 5.210674169636083e-271, 3.643658132968949e-272, 1.000000000000000e-10, 1.000000000000000e-04, 8.477446748831842e-01, 1.017876571802008e+03
56, 7.773289197000000e-01, 3.402122400000000e-02, -1.357415642233055e+00, 6.987030726090747e-272, 4.885807575299309e-273, 1.000000000000000e-10, 1.000000000000000e-04, 8.477892774098492e-01, 1.017118787594742e+03
57, 7.699847621000000e-01, 3.553454510000000e-02, -1.303996912808777e+00, -4.668577063355615e-274, -3.264586929156616e-275, 1.000000000000000e-10, 1.000000000000000e-04, 9.044424308237817e-01, 1.037769129203984e+03
58, 7.625574431000000e-01, 3.708468300000000e-02, -1.281890287166479e+00, 2.343687218436699e-274, 1.638865666242313e-275, 1.000000000000000e-10, 1.000000000000000e-04, 8.588768523470106e-01, 1.029881426128982e+03
59, 7.550492505000000e-01, 3.867057180000000e-02, -1.253243821611525e+00, 2.513958489236282e-275, 1.757930931208443e-276, 1.000000000000000e-10, 1.000000000000000e-04, 8.589255315137644e-01, 1.029004467136241e+03
60, 7.474624969000000e-01, 4.029099990000000e-02, -1.200620311344165e+00, -1.273996131530053e-277, -8.908648314781611e-279, 1.000000000000000e-10, 1.000000000000000e-04, 9.115683720423279e-01, 1.046740064014747e+03
61, 7.397995194000000e-01, 4.194460740000000e-02, -1.175686070821486e+00, 4.415128454197243e-278, 3.087358406323443e-279, 1.000000000000000e-10, 1.000000000000000e-04, 8.702681602034356e-01, 1.040918877378378e+03
62, 7.320626781000000e-01, 4.362988410000000e-02, -1.146401467344686e+00, 3.666383266458328e-279, 2.563784794923221e-280, 1.000000000000000e-10, 1.000000000000000e-04, 8.703190875453021e-01, 1.039951857541258e+03
63, 7.242543564000000e-01, 4.534516890000000e-02, -1.094806001483145e+00, -1.354454983005874e-281, -9.471271382363864e-283, 1.000000000000000e-10, 1.000000000000000e-04, 9.188869743972343e-01, 1.055496053481079e+03
64, 7.163769592000000e-01, 4.708864900000000e-02, -1.067192878877314e+00, 3.019636589406249e-282, 2.111535486466444e-283, 1.000000000000000e-10, 1.000000000000000e-04, 8.818882016596737e-01, 1.049240512001237e+03
65, 7.084329130000000e-01, 4.885836030000000e-02, -1.037393043737527e+00, 1.849948202451689e-283, 1.293609731484161e-284, 1.000000000000000e-10, 1.000000000000000e-04, 8.819395661115624e-01, 1.049324034228855e+03
66, 7.004246648000000e-01, 5.065218840000000e-02, -9.870319127718095e-01, -4.714910531842577e-286, -3.296986444801819e-287, 1.000000000000000e-10, 1.000000000000000e-04, 9.263726041356504e-01, 1.063597179592343e+03
67, 6.923546813000000e-01, 5.246787070000000e-02, -9.568159815820740e-01, 6.116315867940201e-287, 4.276944466397871e-288, 1.000000000000000e-10, 1.000000000000000e-04, 8.937117467271327e-01, 1.054391318769437e+03
68, 6.842254482000000e-01, 5.430299840000000e-02, -9.265984231875822e-01, 2.583059278534544e-288, 1.806250907611561e-289, 1.000000000000000e-10, 1.000000000000000e-04, 8.937618194475189e-01, 1.053752840328046e+03
69, 6.760394695000000e-01, 5.615502050000000e-02, -8.776636609669827e-01, -4.203726756044071e-291, -2.939531946306452e-292, 1.000000000000000e-10, 1.000000000000000e-04, 9.340057108866809e-01, 1.070602520672554e+03
70, 6.677992667000000e-01, 5.802124720000000e-02, -8.448935916221211e-01, 2.751436781768021e-292, 1.923991921363822e-293, 1.000000000000000e-10, 1.000000000000000e-04, 9.057166696674460e-01, 1.054535393353455e+03
71, 6.595073779000000e-01, 5.989885590000000e-02, -8.143407679657375e-01, 7.264843841342039e-294, 5.080073419579038e-295, 1.000000000000000e-10, 1.000000000000000e-04, 9.057638944993558e-01, 1.054569993780533e+03
